run_name,index,row,matrix,success,mass,log10_mass,V_core,V_edema,log10_V_core,log10_V_edema,r95_core,r95_edema,centroid_drift,R_g,anisotropy,log10_anisotropy,wm_fraction,n_core,n_edema,voxel_volume,pre_mass,pre_log10_mass,pre_V_core,pre_V_edema,pre_log10_V_core,pre_log10_V_edema,pre_r95_core,pre_r95_edema,pre_centroid_drift,pre_R_g,pre_anisotropy,pre_log10_anisotropy,pre_wm_fraction,pre_n_core,pre_n_edema,pre_voxel_volume,final_time,n_steps,wall_time_s,growth_dt,growth_n_steps,treated_dt,cavity_volume_mm3,dose_volume_mm3
r0000_A,0,0,A,True,0.07746299090546126,-1.110905738583334,0.0,0.0,0.0,0.0,0.0,0.0,4.1258462508089675,10.151555167841273,3.168298966543502,0.5008261556807058,0.14628185502102092,0,0,1.0,111.26526578026348,2.0463596096691195,2.0,101.0,0.47712125471966244,2.0086001717619175,1.3935028842544404,3.1622776601683795,0.3900754157683831,3.9115968327425854,1.2280720738626267,0.08922385569952647,0.032147870986087485,2,101,1.0,331.2212970609619,3977,10.246539629995823,0.08328420846390794,855,0.08328420846390794,2.0,14856.0
r0000_AB-rho,1,0,AB:rho,True,0.3537813690288703,-0.4512650418078805,0.0,0.0,0.0,0.0,0.0,0.0,3.8225404258380857,9.8421385817829,2.909762998091936,0.46385761688537214,0.13982365717651518,0,0,1.0,144.2186137190753,2.1590213166509935,17.0,154.0,1.255272505103306,2.1903316981702914,2.23606797749979,3.5136089962519357,0.4425651938915701,3.999244052757442,1.240188072357146,0.09348755015688923,0.033942783896861665,17,154,1.0,331.2212970609619,3977,9.69231577962637,0.08328420846390794,855,0.08328420846390794,17.0,17911.0
r0000_AB-white_matter_diffusivity,2,0,AB:white_matter_diffusivity,True,0.06144634785670441,-1.211503924865657,0.0,0.0,0.0,0.0,0.0,0.0,1.029674064248733,5.383968109807285,1.4268274300206991,0.15437144983376774,0.06110735418560521,0,0,1.0,110.71456836116356,2.044204771218194,9.0,117.0,1.0,2.0718820073061255,1.6049159094905643,3.1622776601683795,0.22270298483885348,3.4741446983362585,1.1781976972443293,0.07121816958393455,0.022884301753510288,9,117,1.0,331.2212970609619,3977,10.187867142260075,0.08328420846390794,855,0.08328420846390794,9.0,16909.0
r0000_AB-diffusivity_ratio,3,0,AB:diffusivity_ratio,True,21.794112708867594,1.338339192533023,0.0,0.0,0.0,0.0,0.0,0.0,2.635886412452639,8.40720104085544,1.4617893743591772,0.16488480070437242,0.11128122535908806,0,0,1.0,111.93506646979257,2.048966161493685,0.0,72.0,0.0,1.863322860120456,0.0,3.1622776601683795,0.6094106390047019,4.434125075419146,1.2455957122124692,0.09537710456514632,0.04281536652717071,0,72,1.0,331.2212970609619,3977,10.30798026919365,0.08328420846390794,855,0.08328420846390794,0.0,0.0
r0000_AB-resection_time,4,0,AB:resection_time,True,0.07116399235984795,-1.1477396956188133,0.0,0.0,0.0,0.0,0.0,0.0,3.363204844479112,9.26471809849586,2.8641092624171915,0.4569895817781831,0.1272870181279565,0,0,1.0,109.59959673540278,2.039808956192953,3.0,103.0,0.6020599913279624,2.0170333392987803,1.4142135623730951,3.14604989415154,0.34402818993243584,3.79518305043816,1.2180318451247452,0.0856586429611897,0.029687078182399847,3,103,1.0,322.40529312629087,3872,9.738600179553032,0.08326582983633546,749,0.08326582983633546,3.0,15368.0
r0000_AB-chemo_kill_rate,5,0,AB:chemo_kill_rate,True,0.3645472979225552,-0.4382461164703952,0.0,0.0,0.0,0.0,0.0,0.0,4.126949322411453,10.152457845698892,3.168302380123321,0.5008266235968007,0.14631089780573409,0,0,1.0,111.26526578026348,2.0463596096691195,2.0,101.0,0.47712125471966244,2.0086001717619175,1.3935028842544404,3.1622776601683795,0.3900754157683831,3.9115968327425854,1.2280720738626267,0.08922385569952647,0.032147870986087485,2,101,1.0,331.2212970609619,3977,10.179097913205624,0.08328420846390794,855,0.08328420846390794,2.0,14856.0
r0000_AB-chemo_decay_rate,6,0,AB:chemo_decay_rate,True,0.072100287310386,-1.1420630046693834,0.0,0.0,0.0,0.0,0.0,0.0,4.125807215395712,10.15152218202223,3.1682979328963388,0.50082601399353,0.14628082405377146,0,0,1.0,111.26526578026348,2.0463596096691195,2.0,101.0,0.47712125471966244,2.0086001717619175,1.3935028842544404,3.1622776601683795,0.3900754157683831,3.9115968327425854,1.2280720738626267,0.08922385569952647,0.032147870986087485,2,101,1.0,331.2212970609619,3977,10.057177849113941,0.08328420846390794,855,0.08328420846390794,2.0,14856.0
r0000_AB-rt_alpha,7,0,AB:rt_alpha,True,3.2845422308239813,0.516474850157473,0.0,0.0,0.0,0.0,0.0,0.0,1.9035966052889817,7.1471070531957706,1.622941931737165,0.21030298120807048,0.09124826188235449,0,0,1.0,111.26526578026348,2.0463596096691195,2.0,101.0,0.47712125471966244,2.0086001717619175,1.3935028842544404,3.1622776601683795,0.3900754157683831,3.9115968327425854,1.2280720738626267,0.08922385569952647,0.032147870986087485,2,101,1.0,331.2212970609619,3977,9.321654178202152,0.08328420846390794,855,0.08328420846390794,2.0,14856.0
r0000_AB-rt_alpha_beta_ratio,8,0,AB:rt_alpha_beta_ratio,True,0.070840559087218,-1.1497180199334658,0.0,0.0,0.0,0.0,0.0,0.0,4.3206998085395165,10.349549982146884,3.2446641332251374,0.5111697480897855,0.1510433979764872,0,0,1.0,111.26526578026348,2.0463596096691195,2.0,101.0,0.47712125471966244,2.0086001717619175,1.3935028842544404,3.1622776601683795,0.3900754157683831,3.9115968327425854,1.2280720738626267,0.08922385569952647,0.032147870986087485,2,101,1.0,331.2212970609619,3977,10.009115874767303,0.08328420846390794,855,0.08328420846390794,2.0,14856.0
r0000_AB-seed_peak_density,9,0,AB:seed_peak_density,True,2.532191348745537,0.4034965206835386,0.0,0.0,0.0,0.0,0.0,0.0,1.830804919380048,6.29057280256326,1.5216576450147608,0.18231695229944714,0.08242108635643423,0,0,1.0,12.734678246896427,1.1049879765974215,0.0,0.0,0.0,0.0,0.0,0.0,0.3292310404253634,2.9684516737385267,1.3254125362931615,0.12235107400911174,0.021493945851338726,0,0,1.0,331.2212970609619,3977,11.424024805426598,0.08328420846390794,855,0.08328420846390794,0.0,0.0
