run_name,index,row,matrix,u_front_speed_mm_per_day,u_front_width_mm,u_diffusivity_ratio,u_resection_time,u_chemo_kill_rate,u_rt_alpha,u_rt_alpha_beta_ratio,u_seed_peak_density,u_seed_relative_width,u_gaussian_seed_x_fraction,u_gaussian_seed_y_fraction,u_gaussian_seed_z_fraction,front_speed_mm_per_day,front_width_mm,diffusivity_ratio,resection_time,chemo_kill_rate,rt_alpha,rt_alpha_beta_ratio,seed_peak_density,seed_relative_width,gaussian_seed_x_fraction,gaussian_seed_y_fraction,gaussian_seed_z_fraction,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_sigma_mm,seed_enhancing_radius_mm,seed_voxel_i,seed_voxel_j,seed_voxel_k
r0000_A,0,0,A,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,16.40832881560526,71.20799823664129,0.006298503364716864,0.02195832436988404,9.40311686694622,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,7428.792591951709,36.68073582569216,8.56513115202472,5.733270157850197,88,192,71
r0000_AB-front_speed_mm_per_day,1,0,AB:front_speed_mm_per_day,0.20179095026105642,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.04601867882289812,2.5793882741221434,16.40832881560526,71.20799823664129,0.006298503364716864,0.02195832436988404,9.40311686694622,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.059350020273188205,0.008920463678264936,7428.792591951709,36.68073582569216,8.56513115202472,5.733270157850197,88,192,71
r0000_AB-front_width_mm,2,0,AB:front_width_mm,0.15546531789004803,0.3854847699403763,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,1.8596974317823554,16.40832881560526,71.20799823664129,0.006298503364716864,0.02195832436988404,9.40311686694622,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.03878724475588384,0.01121513092902662,2784.1648330695257,19.0672991076314,6.175321709454723,4.133595509926529,88,192,71
r0000_AB-diffusivity_ratio,3,0,AB:diffusivity_ratio,0.15546531789004803,0.588747326284647,0.46254704613238573,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,8.415774542338575,71.20799823664129,0.006298503364716864,0.02195832436988404,9.40311686694622,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,7428.792591951709,36.68073582569216,8.56513115202472,5.733270157850197,88,192,71
r0000_AB-resection_time,4,0,AB:resection_time,0.15546531789004803,0.588747326284647,0.607532175257802,0.4323244160041213,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,16.40832881560526,103.49515072070062,0.006298503364716864,0.02195832436988404,9.40311686694622,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,7428.792591951709,36.68073582569216,8.56513115202472,5.733270157850197,88,192,71
r0000_AB-chemo_kill_rate,5,0,AB:chemo_kill_rate,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.19038886204361916,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,16.40832881560526,71.20799823664129,0.0008844466161732659,0.02195832436988404,9.40311686694622,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,7428.792591951709,36.68073582569216,8.56513115202472,5.733270157850197,88,192,71
r0000_AB-rt_alpha,6,0,AB:rt_alpha,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.4861564636230469,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,16.40832881560526,71.20799823664129,0.006298503364716864,0.04290462809280836,9.40311686694622,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,7428.792591951709,36.68073582569216,8.56513115202472,5.733270157850197,88,192,71
r0000_AB-rt_alpha_beta_ratio,7,0,AB:rt_alpha_beta_ratio,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.2393618831411004,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,16.40832881560526,71.20799823664129,0.006298503364716864,0.02195832436988404,5.914895065128803,0.7506653651595115,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,7428.792591951709,36.68073582569216,8.56513115202472,5.733270157850197,88,192,71
r0000_AB-seed_peak_density,8,0,AB:seed_peak_density,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3004206856712699,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,16.40832881560526,71.20799823664129,0.006298503364716864,0.02195832436988404,9.40311686694622,0.7201682742685079,3.3206056017059846,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,7126.984924511206,36.68073582569216,8.56513115202472,5.175426811209419,88,192,71
r0000_AB-seed_relative_width,9,0,AB:seed_relative_width,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.3100081468001008,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.5793882741221434,16.40832881560526,71.20799823664129,0.006298503364716864,0.02195832436988404,9.40311686694622,0.7506653651595115,2.4794294010064784,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05379765686558261,0.008085928898359419,3092.584571286279,20.450641719100624,6.3954111234698,4.280917488660397,88,192,71
