run_name,success,exit_code,wall_time_s,error,final_time,n_steps,dt
r0000_AB-front_width_mm,True,0,180.978,,321.7672090996057,3862,0.08331621157421172
r0000_AB-front_speed_mm_per_day,True,0,181.522,,321.7672090996057,3862,0.08331621157421172
r0000_AB-chemo_kill_rate,True,0,181.633,,321.7672090996057,3862,0.08331621157421172
r0000_AB-seed_peak_density,True,0,181.707,,321.7672090996057,3862,0.08331621157421172
r0000_AB-diffusivity_ratio,True,0,181.998,,321.7672090996057,3862,0.08331621157421172
r0000_A,True,0,182.125,,321.7672090996057,3862,0.08331621157421172
r0000_AB-preop_time,True,0,183.861,,218.69152013398707,2625,0.08331105528913793
r0000_AB-gaussian_seed_x_fraction,True,0,183.913,,321.7672090996057,3862,0.08331621157421172
r0000_AB-rt_alpha_beta_ratio,True,0,184.259,,321.7672090996057,3862,0.08331621157421172
r0000_AB-rt_alpha,True,0,184.345,,321.7672090996057,3862,0.08331621157421172
r0000_AB-seed_sigma_mm,True,0,184.426,,321.7672090996057,3862,0.08331621157421172
r0000_AB-gaussian_seed_y_fraction,True,0,184.946,,321.7672090996057,3862,0.08331621157421172
r0001_AB-seed_sigma_mm,True,0,36.605,,202.77978132665157,2434,0.08331133168720278
r0001_A,True,0,55.924,,202.77978132665157,2434,0.08331133168720278
r0001_AB-front_speed_mm_per_day,True,0,56.153,,202.77978132665157,2434,0.08331133168720278
r0001_AB-diffusivity_ratio,True,0,53.928,,202.77978132665157,2434,0.08331133168720278
r0001_AB-preop_time,True,0,54.327,,301.36717013269663,3617,0.08331964891697446
r0000_AB-gaussian_seed_z_fraction,True,0,57.341,,321.7672090996057,3862,0.08331621157421172
r0001_AB-seed_peak_density,True,0,56.269,,202.77978132665157,2434,0.08331133168720278
r0001_AB-front_width_mm,True,0,56.436,,202.77978132665157,2434,0.08331133168720278
r0000_B,True,0,57.007,,218.69152013398707,2625,0.08331105528913793
r0001_AB-chemo_kill_rate,True,0,54.271,,202.77978132665157,2434,0.08331133168720278
r0001_AB-rt_alpha,True,0,54.252,,202.77978132665157,2434,0.08331133168720278
r0001_AB-rt_alpha_beta_ratio,True,0,53.793,,202.77978132665157,2434,0.08331133168720278
r0001_AB-gaussian_seed_x_fraction,True,0,23.223,,202.77978132665157,2434,0.08331133168720278
r0001_AB-gaussian_seed_y_fraction,True,0,11.409,,202.77978132665157,2434,0.08331133168720278
r0001_AB-gaussian_seed_z_fraction,True,0,12.13,,202.77978132665157,2434,0.08331133168720278
r0002_AB-diffusivity_ratio,True,0,14.167,,224.3571353442967,2693,0.08331122738369726
r0002_AB-front_width_mm,True,0,15.367,,224.3571353442967,2693,0.08331122738369726
r0002_AB-preop_time,True,0,15.325,,305.76615244336426,3670,0.08331502791372324
r0002_AB-seed_peak_density,True,0,15.945,,224.3571353442967,2693,0.08331122738369726
r0002_A,True,0,16.406,,224.3571353442967,2693,0.08331122738369726
r0001_B,True,0,16.565,,301.36717013269663,3617,0.08331964891697446
r0002_AB-front_speed_mm_per_day,True,0,16.788,,224.3571353442967,2693,0.08331122738369726
r0002_AB-chemo_kill_rate,True,0,16.487,,224.3571353442967,2693,0.08331122738369726
r0002_AB-seed_sigma_mm,True,0,16.808,,224.3571353442967,2693,0.08331122738369726
r0002_AB-rt_alpha,True,0,11.705,,224.3571353442967,2693,0.08331122738369726
r0002_AB-rt_alpha_beta_ratio,True,0,10.085,,224.3571353442967,2693,0.08331122738369726
r0002_AB-gaussian_seed_x_fraction,True,0,10.15,,224.3571353442967,2693,0.08331122738369726
r0002_AB-gaussian_seed_y_fraction,True,0,10.348,,224.3571353442967,2693,0.08331122738369726
r0003_A,True,0,13.215,,300.77155890129507,3610,0.08331622130229781
r0002_AB-gaussian_seed_z_fraction,True,0,15.264,,224.3571353442967,2693,0.08331122738369726
r0003_AB-diffusivity_ratio,True,0,15.139,,300.77155890129507,3610,0.08331622130229781
r0002_B,True,0,16.815,,305.76615244336426,3670,0.08331502791372324
r0003_AB-preop_time,True,0,15.711,,223.75430117547512,2686,0.0833039095962305
r0003_AB-seed_peak_density,True,0,16.36,,300.77155890129507,3610,0.08331622130229781
r0003_AB-front_speed_mm_per_day,True,0,17.392,,300.77155890129507,3610,0.08331622130229781
r0003_AB-chemo_kill_rate,True,0,13.051,,300.77155890129507,3610,0.08331622130229781
r0003_AB-front_width_mm,True,0,17.42,,300.77155890129507,3610,0.08331622130229781
r0003_AB-seed_sigma_mm,True,0,17.006,,300.77155890129507,3610,0.08331622130229781
r0003_AB-rt_alpha,True,0,12.263,,300.77155890129507,3610,0.08331622130229781
r0003_AB-rt_alpha_beta_ratio,True,0,12.06,,300.77155890129507,3610,0.08331622130229781
r0003_AB-gaussian_seed_x_fraction,True,0,11.031,,300.77155890129507,3610,0.08331622130229781
r0003_AB-gaussian_seed_y_fraction,True,0,11.534,,300.77155890129507,3610,0.08331622130229781
r0003_AB-gaussian_seed_z_fraction,True,0,11.743,,300.77155890129507,3610,0.08331622130229781
r0003_B,True,0,12.316,,223.75430117547512,2686,0.0833039095962305
r0004_AB-seed_peak_density,True,0,12.8,,264.03665641508996,3169,0.0833186041070022
r0004_AB-diffusivity_ratio,True,0,12.562,,264.03665641508996,3169,0.0833186041070022
r0004_A,True,0,14.01,,264.03665641508996,3169,0.0833186041070022
r0004_AB-front_speed_mm_per_day,True,0,13.792,,264.03665641508996,3169,0.0833186041070022
