run_name,index,row,matrix,u_front_speed_mm_per_day,u_front_width_mm,u_diffusivity_ratio,u_resection_time,u_chemo_kill_rate,u_rt_alpha,u_rt_alpha_beta_ratio,u_seed_peak_density,u_seed_sigma_mm,u_gaussian_seed_x_fraction,u_gaussian_seed_y_fraction,u_gaussian_seed_z_fraction,front_speed_mm_per_day,front_width_mm,diffusivity_ratio,resection_time,chemo_kill_rate,rt_alpha,rt_alpha_beta_ratio,seed_peak_density,seed_sigma_mm,gaussian_seed_x_fraction,gaussian_seed_y_fraction,gaussian_seed_z_fraction,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_enhancing_radius_mm,s,seed_voxel_i,seed_voxel_j,seed_voxel_k
r0000_A,0,0,A,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,16.40832881560526,71.20799823664129,0.020220974373813937,0.0040193866045829495,9.40311686694622,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,18971.276890143563,68.53150333772176,7.836615097158872,5.176055412852043,88,192,71
r0000_AB-front_speed_mm_per_day,1,0,AB:front_speed_mm_per_day,0.20179095026105642,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.04601867882289812,2.2618365104913205,16.40832881560526,71.20799823664129,0.020220974373813937,0.0040193866045829495,9.40311686694622,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.05204336396310236,0.010172857014519995,18971.276890143563,68.53150333772176,7.836615097158872,5.176055412852043,88,192,71
r0000_AB-front_width_mm,2,0,AB:front_width_mm,0.15546531789004803,0.3854847699403763,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,1.7064161676892087,16.40832881560526,71.20799823664129,0.020220974373813937,0.0040193866045829495,9.40311686694622,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.03559029572252735,0.012222546047519826,18971.276890143563,68.53150333772176,7.836615097158872,6.860806487182355,88,192,71
r0000_AB-diffusivity_ratio,3,0,AB:diffusivity_ratio,0.15546531789004803,0.588747326284647,0.46254704613238573,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,8.415774542338575,71.20799823664129,0.020220974373813937,0.0040193866045829495,9.40311686694622,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,18971.276890143563,68.53150333772176,7.836615097158872,5.176055412852043,88,192,71
r0000_AB-resection_time,4,0,AB:resection_time,0.15546531789004803,0.588747326284647,0.607532175257802,0.4323244160041213,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,16.40832881560526,103.49515072070062,0.020220974373813937,0.0040193866045829495,9.40311686694622,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,18971.276890143563,68.53150333772176,7.836615097158872,5.176055412852043,88,192,71
r0000_AB-chemo_kill_rate,5,0,AB:chemo_kill_rate,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.19038886204361916,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,16.40832881560526,71.20799823664129,0.001967765571960517,0.0040193866045829495,9.40311686694622,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,18971.276890143563,68.53150333772176,7.836615097158872,5.176055412852043,88,192,71
r0000_AB-rt_alpha,6,0,AB:rt_alpha,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.4861564636230469,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,16.40832881560526,71.20799823664129,0.020220974373813937,0.013141974052433114,9.40311686694622,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,18971.276890143563,68.53150333772176,7.836615097158872,5.176055412852043,88,192,71
r0000_AB-rt_alpha_beta_ratio,7,0,AB:rt_alpha_beta_ratio,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.2393618831411004,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,16.40832881560526,71.20799823664129,0.020220974373813937,0.0040193866045829495,5.914895065128803,0.7506653651595115,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,18971.276890143563,68.53150333772176,7.836615097158872,5.176055412852043,88,192,71
r0000_AB-seed_peak_density,8,0,AB:seed_peak_density,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3004206856712699,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,16.40832881560526,71.20799823664129,0.020220974373813937,0.0040193866045829495,9.40311686694622,0.7201682742685079,11.707391113114976,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,18200.53564845305,68.53150333772176,7.074117696587403,5.176055412852043,88,192,71
r0000_AB-seed_sigma_mm,9,0,AB:seed_sigma_mm,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.3100081468001008,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.041713500371627334,2.2618365104913205,16.40832881560526,71.20799823664129,0.020220974373813937,0.0040193866045829495,9.40311686694622,0.7506653651595115,7.1708495864861375,0.48626373626373626,0.8830275229357798,0.39285714285714285,0.04717455906046999,0.009221157271567398,4359.413049964996,25.710541896004205,4.799975296457053,3.170366007102994,88,192,71
