run_name,success,exit_code,wall_time_s,error,final_time,n_steps,dt
r0000_AB-preop_time,True,0,15.371,,218.69152013398707,2625,0.08331105528913793
r0000_A,True,0,16.889,,321.7672090996057,3862,0.08331621157421172
r0000_AB-seed_peak_density,True,0,17.735,,321.7672090996057,3862,0.08331621157421172
r0000_AB-seed_sigma_mm,True,0,17.891,,321.7672090996057,3862,0.08331621157421172
r0000_AB-front_speed_mm_per_day,True,0,18.195,,321.7672090996057,3862,0.08331621157421172
r0000_AB-front_width_mm,True,0,18.278,,321.7672090996057,3862,0.08331621157421172
r0000_AB-chemo_kill_rate,True,0,18.337,,321.7672090996057,3862,0.08331621157421172
r0000_AB-rt_alpha,True,0,18.404,,321.7672090996057,3862,0.08331621157421172
r0000_AB-gaussian_seed_y_fraction,True,0,18.467,,321.7672090996057,3862,0.08331621157421172
r0000_AB-gaussian_seed_x_fraction,True,0,18.543,,321.7672090996057,3862,0.08331621157421172
r0000_AB-diffusivity_ratio,True,0,18.83,,321.7672090996057,3862,0.08331621157421172
r0000_AB-rt_alpha_beta_ratio,True,0,18.939,,321.7672090996057,3862,0.08331621157421172
r0000_B,True,0,11.012,,218.69152013398707,2625,0.08331105528913793
r0000_AB-gaussian_seed_z_fraction,True,0,13.278,,321.7672090996057,3862,0.08331621157421172
r0001_A,True,0,12.756,,202.77978132665157,2434,0.08331133168720278
r0001_AB-front_width_mm,True,0,12.363,,202.77978132665157,2434,0.08331133168720278
r0001_AB-front_speed_mm_per_day,True,0,12.737,,202.77978132665157,2434,0.08331133168720278
r0001_AB-seed_peak_density,True,0,12.435,,202.77978132665157,2434,0.08331133168720278
r0001_AB-diffusivity_ratio,True,0,13.38,,202.77978132665157,2434,0.08331133168720278
r0001_AB-seed_sigma_mm,True,0,13.574,,202.77978132665157,2434,0.08331133168720278
r0001_AB-rt_alpha,True,0,13.753,,202.77978132665157,2434,0.08331133168720278
r0001_AB-rt_alpha_beta_ratio,True,0,13.753,,202.77978132665157,2434,0.08331133168720278
r0001_AB-chemo_kill_rate,True,0,14.256,,202.77978132665157,2434,0.08331133168720278
r0001_AB-preop_time,True,0,15.253,,301.36717013269663,3617,0.08331964891697446
r0001_AB-gaussian_seed_x_fraction,True,0,10.603,,202.77978132665157,2434,0.08331133168720278
r0001_AB-gaussian_seed_y_fraction,True,0,10.391,,202.77978132665157,2434,0.08331133168720278
r0002_AB-front_width_mm,True,0,10.406,,224.3571353442967,2693,0.08331122738369726
r0001_AB-gaussian_seed_z_fraction,True,0,12.152,,202.77978132665157,2434,0.08331133168720278
r0002_A,True,0,12.647,,224.3571353442967,2693,0.08331122738369726
r0002_AB-front_speed_mm_per_day,True,0,12.833,,224.3571353442967,2693,0.08331122738369726
r0002_AB-seed_peak_density,True,0,11.782,,224.3571353442967,2693,0.08331122738369726
r0001_B,True,0,13.563,,301.36717013269663,3617,0.08331964891697446
r0002_AB-seed_sigma_mm,True,0,13.218,,224.3571353442967,2693,0.08331122738369726
