row_name,run_name,index,row,matrix,u_front_speed_mm_per_day,u_front_width_mm,u_seed_peak_density,u_seed_sigma_mm,u_preop_time,u_diffusivity_ratio,u_chemo_kill_rate,u_rt_alpha,u_rt_alpha_beta_ratio,u_gaussian_seed_x_fraction,u_gaussian_seed_y_fraction,u_gaussian_seed_z_fraction,u_core_threshold,u_edema_threshold_ratio,front_speed_mm_per_day,front_width_mm,seed_peak_density,seed_sigma_mm,preop_time,diffusivity_ratio,chemo_kill_rate,rt_alpha,rt_alpha_beta_ratio,gaussian_seed_x_fraction,gaussian_seed_y_fraction,gaussian_seed_z_fraction,core_threshold,edema_threshold_ratio,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_enhancing_radius_mm,s,seed_voxel_i,seed_voxel_j,seed_voxel_k,edema_threshold
r0000_A,r0000_A,0,0,A,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.8430128701031208,6.628547211057628,173.76720909960568,3.350589083284266,0.0017908604768118186,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,3866.865523291445,21.968819064609928,5.466462613461878,1.9486172312101522,141,132,47,0.196515843029119
r0000_AB-front_speed_mm_per_day,r0000_AB-front_speed_mm_per_day,1,0,AB:front_speed_mm_per_day,0.46254704613238573,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.07999139107762947,3.401667143701225,0.8430128701031208,6.628547211057628,173.76720909960568,3.350589083284266,0.0017908604768118186,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.13605204340386373,0.011757674648700912,3866.865523291445,21.968819064609928,5.466462613461878,1.9486172312101522,141,132,47,0.196515843029119
r0000_AB-front_width_mm,r0000_AB-front_width_mm,2,0,AB:front_width_mm,0.15546531789004803,0.4323244160041213,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,2.4571283977777485,0.8430128701031208,6.628547211057628,173.76720909960568,3.350589083284266,0.0017908604768118186,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.05124771316691909,0.008488262235167165,3866.865523291445,21.968819064609928,5.466462613461878,2.69768043747838,141,132,47,0.196515843029119
r0000_AB-seed_peak_density,r0000_AB-seed_peak_density,3,0,AB:seed_peak_density,0.15546531789004803,0.588747326284647,0.19038886204361916,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.6761555448174477,6.628547211057628,173.76720909960568,3.350589083284266,0.0017908604768118186,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,3101.4978031321193,21.968819064609928,3.2404511207785935,1.9486172312101522,141,132,47,0.196515843029119
r0000_AB-seed_sigma_mm,r0000_AB-seed_sigma_mm,4,0,AB:seed_sigma_mm,0.15546531789004803,0.588747326284647,0.607532175257802,0.4861564636230469,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.8430128701031208,8.801403494595494,173.76720909960568,3.350589083284266,0.0017908604768118186,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,9052.317994728604,38.73235173733889,7.258384321218754,2.58737940038984,141,132,47,0.196515843029119
r0000_AB-preop_time,r0000_AB-preop_time,5,0,AB:preop_time,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.2393618831411004,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.8430128701031208,6.628547211057628,70.69152013398707,3.350589083284266,0.0017908604768118186,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,3866.865523291445,21.968819064609928,5.466462613461878,1.9486172312101522,141,132,47,0.196515843029119
r0000_AB-diffusivity_ratio,r0000_AB-diffusivity_ratio,6,0,AB:diffusivity_ratio,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.3004206856712699,0.6753896083682775,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.8430128701031208,6.628547211057628,173.76720909960568,3.9887918274369274,0.0017908604768118186,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,3866.865523291445,21.968819064609928,5.466462613461878,1.9486172312101522,141,132,47,0.196515843029119
r0000_AB-chemo_kill_rate,r0000_AB-chemo_kill_rate,7,0,AB:chemo_kill_rate,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.3100081468001008,0.3766634128987789,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.8430128701031208,6.628547211057628,173.76720909960568,3.350589083284266,0.00025840924610037925,0.003678610580884039,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,3866.865523291445,21.968819064609928,5.466462613461878,1.9486172312101522,141,132,47,0.196515843029119
r0000_AB-rt_alpha,r0000_AB-rt_alpha,8,0,AB:rt_alpha,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.00786308478564024,0.7314463797956705,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.8430128701031208,6.628547211057628,173.76720909960568,3.350589083284266,0.0017908604768118186,0.000521270560581933,9.851571038365364,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,3866.865523291445,21.968819064609928,5.466462613461878,1.9486172312101522,141,132,47,0.196515843029119
r0000_AB-rt_alpha_beta_ratio,r0000_AB-rt_alpha_beta_ratio,9,0,AB:rt_alpha_beta_ratio,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.3766634128987789,0.07198528572916985,0.49098370876163244,0.9820169974118471,0.4405437568202615,0.20179095026105642,0.3854847699403763,0.041713500371627334,3.401667143701225,0.8430128701031208,6.628547211057628,173.76720909960568,3.350589083284266,0.0017908604768118186,0.003678610580884039,4.575882285833359,0.7774725274725275,0.6077981651376146,0.260989010989011,0.510537285078317,0.3849196694791317,0.07094772183146676,0.006131331874852467,3866.865523291445,21.968819064609928,5.466462613461878,1.9486172312101522,141,132,47,0.196515843029119
