patient,cell,t_r_column,observation_set,split,name,resid7_frac,norm_T_r,n_rows
p00,young_weak,scaled_dt,a,region,core,3.953898374658305e-15,138.1627375531927,11418
p00,young_weak,scaled_dt,a,region,rim,2.7744983192777564e-15,288.05205415110095,28718
p00,young_weak,scaled_dt,a,region,out_of_field,3.566796371252512e-15,0.01963909449195912,565210
p00,young_weak,scaled_dt,a,day,pre,2.6322552198359903e-15,411.60434862771115,711310
p00,young_weak,scaled_dt,b,region,core,6.879374466217533e-07,138.1627375531927,11418
p00,young_weak,scaled_dt,b,region,rim,5.163541901616329e-07,288.05205415110095,28718
p00,young_weak,scaled_dt,b,region,out_of_field,0.6982554112214585,0.02265383793284891,1130420
p00,young_weak,scaled_dt,b,day,pre,4.900416577757805e-07,411.60434862771115,711310
p00,young_weak,scaled_dt,b,day,d120,0.23556154555332098,0.41469137783730314,711310
p00,young_weak,scaled_dt,c,region,core,6.149645697311781e-07,138.1627375531927,11418
p00,young_weak,scaled_dt,c,region,rim,4.523696957392881e-07,288.05205415110095,28718
p00,young_weak,scaled_dt,c,region,out_of_field,0.15257081300369424,0.023111967351464296,1695630
p00,young_weak,scaled_dt,c,day,pre,4.729642706836486e-07,411.60434862771115,711310
p00,young_weak,scaled_dt,c,day,d55,0.2476071900888139,0.07722625277861561,711310
p00,young_weak,scaled_dt,c,day,d120,0.26933428549698996,0.41469137783730314,711310
p00,young_weak,scaled_dt,d,region,core,0.002420513875502691,138.1627375531927,11418
p00,young_weak,scaled_dt,d,region,rim,0.0018031562763346548,288.05205415110095,28718
p00,young_weak,scaled_dt,d,region,out_of_field,0.19030567866442144,0.027271173329221313,2260840
p00,young_weak,scaled_dt,d,day,pre,0.0017129624311912424,411.60434862771115,711310
p00,young_weak,scaled_dt,d,day,d34,0.14901558290617675,32.909175525779524,711310
p00,young_weak,scaled_dt,d,day,d55,0.26501401393325896,0.07722625277861561,711310
p00,young_weak,scaled_dt,d,day,d120,0.5737484335312519,0.41469137783730314,711310
p00,young_weak,scaled_dt,e,region,core,5.645030379038723e-06,138.1627375531927,11418
p00,young_weak,scaled_dt,e,region,rim,4.190563521844324e-06,288.05205415110095,28718
p00,young_weak,scaled_dt,e,region,out_of_field,0.44803414139000153,0.026571403792559706,1695630
p00,young_weak,scaled_dt,e,day,pre,3.981251185780468e-06,411.60434862771115,711310
p00,young_weak,scaled_dt,e,day,d80,0.17767147748305656,1.36425968197899,711310
p00,young_weak,scaled_dt,e,day,d120,0.24528902012748813,0.41469137783730314,711310
p00,young_weak,scaled_dt,f,region,core,0.0023742651065847722,138.1627375531927,11418
p00,young_weak,scaled_dt,f,region,rim,0.0018417945477122674,288.05205415110095,28718
p00,young_weak,scaled_dt,f,region,out_of_field,0.23335104675121193,0.030603268145279906,2826050
p00,young_weak,scaled_dt,f,day,pre,0.0017471021754480764,411.60434862771115,711310
p00,young_weak,scaled_dt,f,day,d34,0.14932063730271083,32.909175525779524,711310
p00,young_weak,scaled_dt,f,day,d55,0.2602883633817567,0.07722625277861561,711310
p00,young_weak,scaled_dt,f,day,d80,1.9211875672614787,1.36425968197899,711310
p00,young_weak,scaled_dt,f,day,d120,0.3217886291074092,0.41469137783730314,711310
p00,young_weak,fixed_dt,a,region,core,0.0006833641795134975,138.47521625286805,11418
p00,young_weak,fixed_dt,a,region,rim,0.0007501036297032258,288.6502914602755,28718
p00,young_weak,fixed_dt,a,region,out_of_field,0.00022573194348272452,0.019688997711842883,565210
p00,young_weak,fixed_dt,a,day,pre,0.0006189455395115234,412.4058605540332,711310
p00,young_weak,fixed_dt,b,region,core,0.0006835292461269069,138.47521625286805,11418
p00,young_weak,fixed_dt,b,region,rim,0.0007501116634576747,288.6502914602755,28718
p00,young_weak,fixed_dt,b,region,out_of_field,0.699871163169462,0.022687364690158977,1130420
p00,young_weak,fixed_dt,b,day,pre,0.0006189457337807509,412.4058605540332,711310
p00,young_weak,fixed_dt,b,day,d120,0.23774593376050715,0.41203347831795284,711310
p00,young_weak,fixed_dt,c,region,core,0.0006829185372525212,138.47521625286805,11418
p00,young_weak,fixed_dt,c,region,rim,0.0007502410711784125,288.6502914602755,28718
p00,young_weak,fixed_dt,c,region,out_of_field,0.15290276575877843,0.023144515190626914,1695630
p00,young_weak,fixed_dt,c,day,pre,0.0006189457205894245,412.4058605540332,711310
p00,young_weak,fixed_dt,c,day,d55,0.24950955034020628,0.07689706521137087,711310
p00,young_weak,fixed_dt,c,day,d120,0.2718506192660656,0.41203347831795284,711310
p00,young_weak,fixed_dt,d,region,core,0.0026662445203200027,138.47521625286805,11418
p00,young_weak,fixed_dt,d,region,rim,0.0019445585065700874,288.6502914602755,28718
p00,young_weak,fixed_dt,d,region,out_of_field,0.18823271185986168,0.027328309356362702,2260840
p00,young_weak,fixed_dt,d,day,pre,0.0018086210482335424,412.4058605540332,711310
p00,young_weak,fixed_dt,d,day,d34,0.14698420540008994,33.26292767316249,711310
p00,young_weak,fixed_dt,d,day,d55,0.28207813083852645,0.07689706521137087,711310
p00,young_weak,fixed_dt,d,day,d120,0.5794013966175556,0.41203347831795284,711310
p00,young_weak,fixed_dt,e,region,core,0.0006850378979650347,138.47521625286805,11418
p00,young_weak,fixed_dt,e,region,rim,0.0007500760985293278,288.6502914602755,28718
p00,young_weak,fixed_dt,e,region,out_of_field,0.4523836623652037,0.026567729453219464,1695630
p00,young_weak,fixed_dt,e,day,pre,0.0006189584269811516,412.4058605540332,711310
p00,young_weak,fixed_dt,e,day,d80,0.1810710853237394,1.3457516850315376,711310
