patient,cell,run,column,sign,variant,step,frame,n_steps,dt,dice_core,dice_edema,assd_core_mm,assd_edema_mm,rel_l2_log,rel_l2,max_abs_diff,mass,mass_out_of_field,ref_mass,ref_mass_out_of_field,qoi_mass,qoi_log10_mass,qoi_V_core,qoi_V_edema,qoi_log10_V_core,qoi_log10_V_edema,qoi_r95_core,qoi_r95_edema,qoi_centroid_drift,qoi_centroid_x_mm,qoi_centroid_y_mm,qoi_centroid_z_mm,qoi_R_g,qoi_anisotropy,qoi_log10_anisotropy,qoi_wm_fraction,qoi_n_core,qoi_n_edema,qoi_voxel_volume
p00,young_weak,log_v_plus,log_v,plus,,0.05,pre,1908,0.08321656032355242,0.9816868712922363,0.9824011748867948,0.15874949248883474,0.234737747205503,0.0025718816994872782,0.02052296042688711,0.011305362807641162,18704.531446583536,1328.2383783279852,18207.709486951506,1252.2386772931175,18765.349662766523,4.2733566612188705,5922.0,20787.0,3.7725417326409434,4.3178127081508215,11.357816691600547,16.881943016134134,0.19202654017598433,131.84683652548182,102.9738420106224,90.11283129795052,17.455414550899324,1.024996374013717,0.010722329051656439,0.5169058789471823,5922.0,20787.0,1.0
p00,young_weak,log_v_plus,log_v,plus,,0.05,d34,1908,0.08321656032355242,,,,,0.00485614292225507,0.051744907266852436,0.008116106596589873,8361.824832078464,1617.48117211612,7858.499653993491,1462.3707509417331,8417.651683281745,3.9251909509726572,0.0,0.0,0.0,0.0,0.0,0.0,0.8081892859920213,131.33654457441534,102.99163740369139,90.46144001477717,21.333621321234922,1.06067218226737,0.025581178971216104,0.5870530849415463,0.0,0.0,1.0
p00,young_weak,log_v_plus,log_v,plus,,0.05,d55,1908,0.08321656032355242,,,,,0.006073573342635571,0.07590142907818599,0.004977644354463018,4226.140756150266,1212.239021151671,3873.6132900818466,1071.4371533139367,4264.929067124915,3.6299118125229066,0.0,0.0,0.0,0.0,0.0,0.0,1.2201971587983786,130.97757674819673,103.01294949120577,90.66585592374715,22.83376710450135,1.0894208933362817,0.03719570008494154,0.578908125592889,0.0,0.0,1.0
p00,young_weak,log_v_plus,log_v,plus,,0.05,d80,1908,0.08321656032355242,,,,,0.008048259343285265,0.10116289756949055,0.011169683896416677,7299.794912285405,2201.0860959915603,6527.657554119306,1894.5071705946814,7368.468349791103,3.867377222409408,0.0,0.0,0.0,0.0,0.0,0.0,1.2986983814137676,130.90393359434327,103.00131687973658,90.69660188494235,23.302542074158822,1.0973255774751758,0.040335502253464245,0.575015538611,0.0,0.0,1.0
p00,young_weak,log_v_plus,log_v,plus,,0.05,d120,1908,0.08321656032355242,,,,,0.010682072705555106,0.13944339777182327,0.013649061621342412,7207.306994662431,2395.673365000785,6214.6547817315695,1982.0928835692596,7278.083279033648,3.862017020667343,0.0,0.0,0.0,0.0,0.0,0.0,1.4285580473141166,130.78122963260734,102.98460372098081,90.74507707031141,24.0316871007979,1.111165129040714,0.04577860376733338,0.568739946043803,0.0,0.0,1.0
p00,young_weak,log_v_minus,log_v,minus,,0.05,pre,1908,0.08321656032355242,0.9825343076100517,0.9845157372735553,0.1527257594673325,0.2042972877773864,0.0024422227070555833,0.019253025375204628,0.010798328028525983,17745.414903368655,1183.6371535204426,18207.709486951506,1252.2386772931175,17801.374352523504,4.250453533245736,5513.0,19456.0,3.741466761769755,4.28907587889822,11.045361017187261,16.431676725154983,0.17132276989858314,131.8641760616192,102.97717827628267,90.10189464252363,17.261836629001145,1.023140525212565,0.009935286823692997,0.5140287223646106,5513.0,19456.0,1.0
p00,young_weak,log_v_minus,log_v,minus,,0.05,d34,1908,0.08321656032355242,,,,,0.004599840444504636,0.04738964426355638,0.0076554005122845825,7403.89693612375,1327.3398081153757,7858.499653993491,1462.3707509417331,7451.588953917248,3.872248890243381,0.0,0.0,0.0,0.0,0.0,0.0,0.7501527601709609,131.39174403983884,103.00041464867157,90.43903721776977,21.036105960608406,1.0560321752380282,0.02367715050409491,0.5879316975622351,0.0,0.0,1.0
p00,young_weak,log_v_minus,log_v,minus,,0.05,d55,1908,0.08321656032355242,,,,,0.005742712276584059,0.06775350870830493,0.004625788886926052,3563.4359665924676,951.4988878466748,3873.6132900818466,1071.4371533139367,3595.1007985848078,3.5557110715354425,0.0,0.0,0.0,0.0,0.0,0.0,1.127659695001848,131.06393392749925,103.02176130692419,90.62842910591858,22.461899044263358,1.0824876141901625,0.03442293586176337,0.580374517950139,0.0,0.0,1.0
p00,young_weak,log_v_minus,log_v,minus,,0.05,d80,1908,0.08321656032355242,,,,,0.007599173542781093,0.08839433775911514,0.010210369602576819,5863.845272558304,1639.8378398908224,6527.657554119306,1894.5071705946814,5917.015557778892,3.772102711181464,0.0,0.0,0.0,0.0,0.0,0.0,1.1980667521381645,130.99827414536307,103.01087057610812,90.6571081229949,22.887978985695852,1.0893239114566573,0.03715703681873374,0.5770285727391841,0.0,0.0,1.0
p00,young_weak,log_v_minus,log_v,minus,,0.05,d120,1908,0.08321656032355242,,,,,0.01006267680714332,0.11835022909385487,0.012237086259015123,5388.3752060310035,1650.9111803905726,6214.6547817315695,1982.0928835692596,5438.901832425587,3.7355112202381133,0.0,0.0,0.0,0.0,0.0,0.0,1.3106866036808558,130.89287186354252,102.99568491964553,90.70153263831,23.53922287700672,1.1008986447880218,0.04174733710482111,0.5716228362976047,0.0,0.0,1.0
