patient,cell,candidate,u_front_speed_mm_per_day,u_front_width_mm,u_resection_time,u_chemo_kill_rate,u_rt_alpha,u_seed_peak_density,u_seed_relative_width,front_speed_mm_per_day,front_width_mm,resection_time,chemo_kill_rate,rt_alpha,seed_peak_density,seed_relative_width,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_sigma_mm,seed_enhancing_radius_mm,rho_T_r,log_kill_rt,log_kill_ct,log_kill_total,fd_check
p00,young_weak,6,0.6859694290906191,0.6636702688410878,0.05115117970854044,0.7362522631883621,0.07927036006003618,0.8669714285060763,0.6151194470003247,0.12846202676554963,2.9099505619782584,38.695700550451875,0.004537914229855755,0.01268040475146461,0.9467885714024306,3.063369613390052,0.18690907348963862,0.022072888186495148,10562.77045335217,39.731963329563335,8.914254128031502,8.514360144566194,0.854125871548223,0.9510303563598457,2.4064696673477486,3.357500023707594,True
p01,young_weak,8,0.07438530772924423,0.886390813626349,0.09661385044455528,0.4223676836118102,0.12932634074240923,0.1305420994758606,0.8326224461197853,0.03512502492525625,4.1644781792861085,46.4243545755744,0.0017720787996847248,0.01473185543844985,0.6522168397903442,3.5618393456375643,0.07313869992405517,0.004217218029856207,33524.82842652981,110.01194424298826,14.833202233030349,6.059773518105337,0.19578162514054984,1.1048891578837388,0.939738757408566,2.044627915292305,False
p02,young_weak,12,0.25893059000372887,0.7038600482046604,0.8574020089581609,0.5858001597225666,0.36695135943591595,0.11129681579768658,0.7058388832956553,0.051945675472827336,3.104395612338599,175.75834152288735,0.0028914359978123925,0.030020279099501328,0.6445187263190746,3.262185639984171,0.08062996350890499,0.008366471603420366,10542.959555138528,51.27922695859644,10.127114787400846,3.8315901610716465,1.4704771734154956,2.2515209324625998,1.5333372715671778,3.784858204029778,False
p03,young_weak,15,0.213920627720654,0.3702046647667885,0.4598273131996393,0.3267962569370866,0.03370268549770117,0.37537613417953253,0.39999830443412066,0.04721754257468987,1.8145208218057023,108.17064324393868,0.0013308886981952502,0.011062370628258326,0.750150453671813,2.6390127199737825,0.042838607078136005,0.01301102252651524,1297.2643927056079,11.465074566491417,4.78854352940253,3.2004107075670936,1.4074106759545297,0.8296777971193745,0.7057743096489962,1.5354521067683709,False
p04,young_weak,17,0.5834627281874418,0.3343021897599101,0.0664071012288332,0.04181636590510607,0.4035564474761486,0.0691392607986927,0.6506044585257769,0.10336765811606284,1.7126444165133887,41.289207208901644,0.0005667275831793955,0.033499555393232405,0.627655704319477,3.1396515632556383,0.08851602126026994,0.03017779321830836,1536.8704161684243,14.456638337022996,5.377106719607301,1.614245040411095,1.2460171572981207,2.51246665449243,0.300537354716346,2.813004009208776,False
p05,young_weak,22,0.6897694347426295,0.9130238015204668,0.4845675863325596,0.2079596845433116,0.3084146659821272,0.3154382212087512,0.0851891553029418,0.1295012278461766,4.346865980209288,112.37648967653513,0.000932248711582696,0.025191656829742604,0.7261752884835004,2.1216536397395274,0.2814622408599384,0.01489593058950733,8971.46733335463,42.52765917762048,9.222544028370965,5.698036329362761,1.6739523901141544,1.8893742622306953,0.4943743167483994,2.3837485789790946,False
p06,young_weak,28,0.36435401160269976,0.9547964883968234,0.6656811088323593,0.11207771953195333,0.028561276383697987,0.5675761383026838,0.23448707908391953,0.06495689569282206,4.649155857438128,143.16578850150108,0.0006994980035353196,0.010893290295022772,0.8270304553210736,2.35297677261509,0.1509973660456406,0.006985880629157475,17051.655203959675,59.834752055855596,10.939355744819308,8.763944750545752,1.0001391086506923,0.8169967721267078,0.3709459109656998,1.1879426830924076,False
p07,young_weak,43,0.42407013289630413,0.40004204120486975,0.39828479941934347,0.10673091746866703,0.3532980065792799,0.7812766777351499,0.8500527301803231,0.07372469526072921,1.9037827494561665,97.70841590128839,0.0006883829885600694,0.02881716836991228,0.9125106710940599,3.6051336148607556,0.07017790152314453,0.01936268602123571,4646.479359621408,23.553069282300704,6.863391185456458,6.28493382331437,1.891897378728962,2.161287627743421,0.36505158484246103,2.526339212585882,False
p08,young_strong,0,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.041713500371627334,2.5793882741221434,133.28046979382634,0.0010335694445787974,0.1259700672943372,0.7050242338329553,3.1940560027681024,0.05379765686558261,0.008085928898359419,6209.427933807509,33.938176178814615,8.238710600429489,4.679450131718806,1.0776964022928202,9.447755047075292,0.5481050084887562,9.995860055564048,True
p09,young_strong,3,0.3252919828519225,0.4855605736374855,0.208232288248837,0.9700312782078981,0.551500428467989,0.24735256284475327,0.49294708762317896,0.05979380806436187,2.18470235214871,65.39948900230229,0.00914133856379575,0.05218174522716104,0.6989410251379014,2.8146335190763803,0.06531583656106993,0.013684657776276286,2559.485832173837,18.905939660653434,6.149136469562769,3.397493481003445,0.8949696257398514,3.9136308920370784,4.847679541406837,8.761310433443915,False
p10,young_strong,4,0.4631232712417841,0.751503654755652,0.34475942235440016,0.7806908451020718,0.6428849156945944,0.4927051132544875,0.8025083877146244,0.08008918021146309,3.3518032121249854,88.60910180024803,0.0051840861625829385,0.0686139717021314,0.797082045301795,3.488261961543232,0.1342215857446194,0.011947178152008502,20064.837366105225,68.35105373432177,11.691967647434009,8.81217576314214,1.0586287250970206,5.146047877659855,2.7491366013697403,7.895184479029595,False
p11,young_strong,14,0.6068997420370579,0.8660419136285782,0.555247045122087,0.9310094341635704,0.9265071647241712,0.7487454582005739,0.8934419257566333,0.10863403702510245,4.030299494904783,124.39199767075479,0.00813282082517201,0.1604773013627056,0.8994981832802296,3.715205275107623,0.21891385227586896,0.013477166791505275,47558.75724229392,112.10120320355483,14.973389943733839,13.47450990764424,1.676451700137298,12.03579760220292,4.312859528500308,16.348657130703227,False
p12,young_strong,16,0.22173456754535437,0.83943962585181,0.9163148393854499,0.7159759514033794,0.5107473339885473,0.8047858709469438,0.14185847714543343,0.048006340692475974,3.861385122154164,185.77352269552648,0.00427047509342175,0.04618464414643653,0.9219143483787775,2.2066510054594994,0.09268548485949538,0.006216207290105074,8982.364836671557,36.30141443250664,8.520729362267838,7.897412315617503,1.154806726088432,3.46384831098274,2.26464588287517,5.728494193857911,False
p13,young_strong,19,0.29799451492726803,0.23462035413831472,0.2669996842741966,0.4417137810960412,0.8420475339516997,0.696825422346592,0.9630015371367335,0.05643131786293158,1.4587893698018337,75.38994632661343,0.0018778153422533642,0.12460317235219102,0.8787301689386368,3.898722677504817,0.04116070331117646,0.019341832011909088,2546.0688413898715,16.17334581579525,5.687415197749369,4.968263806334039,1.4581796772361995,9.345237926414327,0.995811166346481,10.341049092760809,False
p14,young_strong,20,0.41211251448839903,0.5009640362113714,0.16147650592029095,0.30707581248134375,0.9928488479927182,0.949473730288446,0.27257845364511013,0.07187902653778463,2.2395400560090253,57.45100600644946,0.0012545409657314377,0.1957609808681788,0.9797894921153784,2.415929664288548,0.08048797955915221,0.016047720679280175,2444.1730033371273,14.637140656366329,5.410571255674641,5.358422224396715,0.9219576971351485,14.682073565113411,0.6652868757666714,15.347360440880083,False
p15,young_strong,23,0.11344827897846699,0.41715588606894016,0.5297705316916108,0.534218879416585,0.6698520518839359,0.5603924449533224,0.5900898585096002,0.038158083814892114,1.9569487468811892,120.06099038757384,0.002477449386252777,0.07438709729380656,0.8241569779813289,3.0106810097686463,0.037336707152470255,0.009749382521056076,2654.6809096072097,17.356349777231195,5.891748429325745,4.694443430489052,1.1705205211452938,5.579032297035492,1.3137989169522304,6.892831213987723,False
p16,old_weak,1,0.5403268178924918,0.08510511741042137,0.3753156205639243,0.5154365282505751,0.24194653239101171,0.6113627888262272,0.18054965138435364,0.09433314677006044,1.146795352574217,93.80365549586713,0.002341900225696546,0.020643327187203197,0.8445451155304908,2.2666311683473563,0.054090407154803406,0.04112902383076038,233.6108444033202,3.3783416371022748,2.599362089860616,2.1493706948698854,3.858052782301956,1.5482495390402398,1.2419167863542289,2.790166325394469,True
p17,old_weak,2,0.9954851474612951,0.9970229417085648,0.8080618157982826,0.27218158822506666,0.4086922537535429,0.8785258131101727,0.9880229299888015,0.24761824875350175,4.976100349592776,167.37050868570805,0.0011300207411469164,0.03401894813648197,0.9514103252440691,3.96692997227018,0.6160866270939255,0.02488075313571257,115257.35649067603,194.83067362734172,19.739841621823704,18.954684407237604,4.164304308807739,2.5514211102361477,0.5992534233354859,3.1506745335716335,False
