patient,cell,column,step,step_half,rel_diff,We_ratio_a,We_ratio_a_half,We_ratio_f,We_ratio_f_half,cr_log_T_r_f,cr_log_T_r_f_half
p00,young_weak,log_v,0.05,0.025,0.010240898864047285,2.0167322275544605e-15,4.8417045431202515e-15,0.07047400001981231,0.06854158873139914,0.17765980856974184,0.1883996381319351
p00,young_weak,log_lambda,0.05,0.025,0.015716880491032276,2.0167322275544605e-15,4.8417045431202515e-15,0.07047400001981231,0.06854158873139914,0.17765980856974184,0.1883996381319351
p00,young_weak,log_T_r,0.05,0.025,0.009830155864523524,2.0167322275544605e-15,4.8417045431202515e-15,0.07047400001981231,0.06854158873139914,0.17765980856974184,0.1883996381319351
p00,young_weak,log_alpha,0.05,0.025,0.003762209376451926,2.0167322275544605e-15,4.8417045431202515e-15,0.07047400001981231,0.06854158873139914,0.17765980856974184,0.1883996381319351
p00,young_weak,log_k_ct,0.05,0.025,0.014623682511327866,2.0167322275544605e-15,4.8417045431202515e-15,0.07047400001981231,0.06854158873139914,0.17765980856974184,0.1883996381319351
p08,young_strong,log_v,0.05,0.025,0.014890582481531788,1.5143316298705262e-15,3.820000218782982e-15,8.464081856220682e-06,8.273747536286299e-06,463.2805958088769,473.57196302149765
p08,young_strong,log_lambda,0.05,0.025,0.02173807972230743,1.5143316298705262e-15,3.820000218782982e-15,8.464081856220682e-06,8.273747536286299e-06,463.2805958088769,473.57196302149765
p08,young_strong,log_T_r,0.05,0.025,0.014890582484367781,1.5143316298705262e-15,3.820000218782982e-15,8.464081856220682e-06,8.273747536286299e-06,463.2805958088769,473.57196302149765
p08,young_strong,log_alpha,0.05,0.025,0.0046799211365868105,1.5143316298705262e-15,3.820000218782982e-15,8.464081856220682e-06,8.273747536286299e-06,463.2805958088769,473.57196302149765
p08,young_strong,log_k_ct,0.05,0.025,0.0002042672080790863,1.5143316298705262e-15,3.820000218782982e-15,8.464081856220682e-06,8.273747536286299e-06,463.2805958088769,473.57196302149765
p16,old_weak,log_v,0.05,0.025,0.25603435714752887,1.4616798810974325e-15,1.2969005989626334e-15,0.4826838829887272,0.4460223750903336,0.0025805876291113356,0.0049117838540982325
p16,old_weak,log_lambda,0.05,0.025,0.24353485658359678,1.4616798810974325e-15,1.2969005989626334e-15,0.4826838829887272,0.4460223750903336,0.0025805876291113356,0.0049117838540982325
p16,old_weak,log_T_r,0.05,0.025,0.09027032324941012,1.4616798810974325e-15,1.2969005989626334e-15,0.4826838829887272,0.4460223750903336,0.0025805876291113356,0.0049117838540982325
p16,old_weak,log_alpha,0.05,0.025,0.021688611762009605,1.4616798810974325e-15,1.2969005989626334e-15,0.4826838829887272,0.4460223750903336,0.0025805876291113356,0.0049117838540982325
p16,old_weak,log_k_ct,0.05,0.025,0.02345057222787556,1.4616798810974325e-15,1.2969005989626334e-15,0.4826838829887272,0.4460223750903336,0.0025805876291113356,0.0049117838540982325
p24,old_strong,log_v,0.05,0.025,0.05588319619477585,1.1157641349013802e-15,2.417549950958046e-15,1.4737750079091821e-08,1.4292341873282309e-08,inf,inf
p24,old_strong,log_lambda,0.05,0.025,0.06664241189662956,1.1157641349013802e-15,2.417549950958046e-15,1.4737750079091821e-08,1.4292341873282309e-08,inf,inf
p24,old_strong,log_T_r,0.05,0.025,0.05588319619477497,1.1157641349013802e-15,2.417549950958046e-15,1.4737750079091821e-08,1.4292341873282309e-08,inf,inf
p24,old_strong,log_alpha,0.05,0.025,0.008221817365854776,1.1157641349013802e-15,2.417549950958046e-15,1.4737750079091821e-08,1.4292341873282309e-08,inf,inf
p24,old_strong,log_k_ct,0.05,0.025,0.00022997217767656796,1.1157641349013802e-15,2.417549950958046e-15,1.4737750079091821e-08,1.4292341873282309e-08,inf,inf
